circuit_id,circuit_url,circuit_name,circuit_country,circuit_locality,circuit_lat,circuit_lon,circuit_alt
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,33.18936157226562
tremblant,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Circuit Mont-Tremblant,Canada,Quebec,46.1877,-74.6099,215.3118438720703
valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia Street Circuit,Spain,Valencia,39.4589,-0.331667,2.439297914505005
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173,641.701416015625
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,11.42041873931885
watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,USA,New York State,42.3369,-76.9272,484.8410034179688
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,4.925852298736572
yeongam,http://en.wikipedia.org/wiki/Korean_International_Circuit,Korean International Circuit,Korea,Yeongam County,34.7333,126.417,0.0
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,4.87763786315918
zeltweg,http://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,Austria,Styria,47.2039,14.7478,675.4312133789062
zolder,http://en.wikipedia.org/wiki/Zolder,Zolder,Belgium,Heusden-Zolder,50.9894,5.25694,38.74106216430664
